policy_id,customer_id,policy_type,premium_amount,start_date,end_date,status
P001,C001,Auto,1200,2023-01-01,2023-12-31,Active
P002,C002,Home,900,2023-03-01,2024-02-28,Active
P003,C003,Health,1500,2023-05-01,2024-04-30,Cancelled
P004,C004,Auto,1100,2023-07-01,2024-06-30,Active
P005,C005,Home,950,2023-09-01,2024-08-31,Active
P006,C006,Auto,1350,2023-02-01,2024-01-31,Active
P007,C007,Health,1600,2023-06-01,2024-05-31,Active
P008,C008,Home,880,2023-04-01,2024-03-31,Cancelled
P009,C009,Auto,1250,2023-08-01,2024-07-31,Active
P010,C010,Health,1450,2023-10-01,2024-09-30,Active
P011,C011,Auto,1180,2023-01-15,2024-01-14,Active
P012,C012,Home,920,2023-03-15,2024-03-14,Expired
P013,C013,Health,1550,2023-05-15,2024-05-14,Active
P014,C014,Auto,1300,2023-07-15,2024-07-14,Active
P015,C015,Home,970,2023-09-15,2024-09-14,Active
P016,C016,Auto,1400,2023-02-15,2024-02-14,Cancelled
P017,C017,Health,1480,2023-06-15,2024-06-14,Active
P018,C018,Home,850,2023-04-15,2024-04-14,Active
P019,C019,Auto,1150,2023-08-15,2024-08-14,Active
P020,C020,Health,1520,2023-11-01,2024-10-31,Active
P021,C021,Auto,1220,2023-01-20,2024-01-19,Active
P022,C022,Home,940,2023-03-20,2024-03-19,Active
P023,C023,Health,1580,2023-05-20,2024-05-19,Cancelled
P024,C024,Auto,1280,2023-07-20,2024-07-19,Active
P025,C025,Home,910,2023-09-20,2024-09-19,Active
P026,C026,Auto,1320,2023-10-15,2024-10-14,Active
P027,C027,Health,1470,2023-02-20,2024-02-19,Active
P028,C028,Home,890,2023-04-20,2024-04-19,Expired
P029,C029,Auto,1190,2023-06-20,2024-06-19,Active
P030,C030,Health,1540,2023-08-20,2024-08-19,Active
P031,C001,Home,960,2023-11-01,2024-10-31,Active
P032,C005,Auto,1170,2023-11-15,2024-11-14,Active
P033,C010,Auto,1260,2023-12-01,2024-11-30,Active
P034,C015,Health,1500,2023-12-15,2024-12-14,Active
P035,C020,Home,930,2024-01-01,2024-12-31,Active
