payment_id,claim_id,payment_date,paid_amount,payment_status
PM001,CL001,2023-06-20,4300,Paid
PM002,CL002,2023-07-25,0,On Hold
PM003,CL003,2023-08-10,0,Rejected
PM004,CL004,2023-09-15,5000,Paid
PM005,CL005,2023-10-16,0,On Hold
PM006,CL006,2023-03-25,6500,Paid
PM007,CL007,2023-07-10,4000,Paid
PM008,CL008,2023-05-20,0,Rejected
PM009,CL009,2023-10-05,3600,Paid
PM010,CL010,2023-11-12,0,On Hold
PM011,CL011,2023-03-01,7000,Paid
PM012,CL012,2023-04-18,10500,Paid
PM013,CL013,2023-07-08,0,Rejected
PM014,CL014,2023-08-26,4700,Paid
PM015,CL015,2023-11-02,0,On Hold
PM016,CL016,2023-03-12,0,Rejected
PM017,CL017,2023-07-25,3300,Paid
PM018,CL018,2023-06-01,9500,Paid
PM019,CL019,2023-09-22,3900,Paid
PM020,CL020,2023-12-08,0,On Hold
PM021,CL021,2023-02-18,8200,Paid
PM022,CL022,2023-05-05,0,Rejected
PM023,CL023,2023-06-20,3000,Paid
PM024,CL024,2023-08-15,5600,Paid
PM025,CL025,2023-10-25,0,On Hold
PM026,CL026,2023-11-30,4500,Paid
PM027,CL027,2023-04-08,7500,Paid
PM028,CL028,2023-05-15,0,Rejected
PM029,CL029,2023-08-02,3400,Paid
PM030,CL030,2023-09-12,0,On Hold
PM031,CL031,2023-11-18,4100,Paid
PM032,CL032,2023-12-12,0,On Hold
PM033,CL033,2023-04-22,5200,Paid
PM034,CL034,2023-12-28,3700,Paid
PM035,CL035,2023-12-05,0,Rejected
PM036,CL036,2023-12-22,4800,Paid
PM037,CL037,2023-11-25,6900,Paid
PM038,CL038,2023-12-18,0,On Hold
PM039,CL039,2023-12-30,0,On Hold
PM040,CL040,2024-01-05,5100,Paid
PM041,CL041,2023-11-22,11000,Paid
PM042,CL042,2023-12-10,0,Rejected
PM043,CL043,2023-12-25,6600,Paid
PM044,CL044,2023-11-15,7200,Paid
PM045,CL045,2024-01-08,0,On Hold
